Sentence;Degree of Truth;Degree of Support
For almost no records in mania, context_stddev_duration_calls is medium;0.5719624113117939;0.44594594594594594
For some records in mania, context_stddev_duration_calls is medium;0.09470425535487269;0.44594594594594594
For almost no records in mania, context_stddev_duration_calls is high;0.8432780376685507;0.32432432432432434
For almost no records in mania, context_no_all_calls is low;0.02138201921868829;0.36046511627906974
For some records in mania, context_no_all_calls is low;0.6452846474479781;0.36046511627906974
For almost no records in mania, context_no_all_calls is medium;0.6185398508397294;0.3372093023255814
For some records in mania, context_no_all_calls is medium;0.0481268158269373;0.3372093023255814
For almost no records in mania, context_no_all_calls is high;0.4574436003074153;0.36046511627906974
For some records in mania, context_no_all_calls is high;0.20922306635925125;0.36046511627906974
For almost no records in mania, hamd is low;1.0;0.06976744186046512
For almost no records in mania, hamd is medium;1.0;0.023255813953488372
For almost no records in mania, hamd is high;1.0;0.0
For almost no records in mania, hamd is very high;1.0;0.0
For some records in mania, yms is low;0.18604651162790647;0.5813953488372093
For most records in mania, yms is low;0.8139534883720936;0.5813953488372093
For some records in mania, yms is medium;0.8914728682170542;0.38372093023255816
For almost no records in mania, yms is high;1.0;0.0
For almost no records in euthymia, context_no_day_incoming_calls is low;0.26306411674832686;0.32421052631578945
For some records in euthymia, context_no_day_incoming_calls is low;0.40360254991833966;0.32421052631578945
For almost no records in euthymia, context_no_day_incoming_calls is medium;0.17970481759956788;0.38105263157894737
For some records in euthymia, context_no_day_incoming_calls is medium;0.4869618490670986;0.38105263157894737
For almost no records in euthymia, context_no_day_incoming_calls is high;0.463207118887709;0.3368421052631579
For some records in euthymia, context_no_day_incoming_calls is high;0.20345954777895764;0.3368421052631579
For some records in euthymia, context_avg_day_duration_incoming is low;0.782264959437447;0.46733668341708545
For almost no records in euthymia, context_avg_day_duration_incoming is medium;0.26418318195266044;0.4798994974874372
For some records in euthymia, context_avg_day_duration_incoming is medium;0.4024834847140061;0.4798994974874372
For almost no records in euthymia, context_avg_day_duration_incoming is high;0.8400718086851087;0.32914572864321606
For some records in euthymia, context_stddev_duration_incoming is low;0.9133327082453233;0.46153846153846156
For almost no records in euthymia, context_stddev_duration_incoming is medium;0.45688129313748893;0.4755244755244755
For some records in euthymia, context_stddev_duration_incoming is medium;0.20978537352917767;0.4755244755244755
For almost no records in euthymia, context_stddev_duration_incoming is high;0.7910844387790238;0.34265734265734266
For some records in euthymia, context_no_day_outgoing_calls is low;0.7696422875370204;0.40210526315789474
For almost no records in euthymia, context_no_day_outgoing_calls is medium;0.24390159067177977;0.3894736842105263
For some records in euthymia, context_no_day_outgoing_calls is medium;0.4227650759948868;0.3894736842105263
For almost no records in euthymia, context_no_day_outgoing_calls is high;0.5801071129123744;0.32210526315789473
For some records in euthymia, context_no_day_outgoing_calls is high;0.08655955375429215;0.32210526315789473
For some records in euthymia, context_avg_day_duration_outgoing is low;0.8036328126783331;0.47417840375586856
For almost no records in euthymia, context_avg_day_duration_outgoing is medium;0.42360705460529435;0.4765258215962441
For some records in euthymia, context_avg_day_duration_outgoing is medium;0.2430596120613722;0.4765258215962441
For almost no records in euthymia, context_avg_day_duration_outgoing is high;0.7395833866776691;0.3403755868544601
For some records in euthymia, context_stddev_duration_outgoing is low;0.849626414549438;0.4720670391061452
For almost no records in euthymia, context_stddev_duration_outgoing is medium;0.4878726555916203;0.4664804469273743
For some records in euthymia, context_stddev_duration_outgoing is medium;0.1787940110750463;0.4664804469273743
For almost no records in euthymia, context_stddev_duration_outgoing is high;0.6730388847222799;0.33798882681564246
For some records in euthymia, context_no_nottakencalls is low;1.0;0.4905263157894737
For some records in euthymia, context_no_nottakencalls is medium;0.823732057416269;0.5515789473684211
For most records in euthymia, context_no_nottakencalls is medium;0.17626794258373105;0.5515789473684211
For almost no records in euthymia, context_no_nottakencalls is high;0.808083054037752;0.2505263157894737
For some records in euthymia, context_no_sms is low;0.7859176788124155;0.3936842105263158
For some records in euthymia, context_no_sms is medium;0.7192457583334272;0.42526315789473684
For almost no records in euthymia, context_no_sms is high;0.40727791516431583;0.3389473684210526
For some records in euthymia, context_no_sms is high;0.25938875150235075;0.3389473684210526
For some records in euthymia, context_avg_len_sms is low;0.8634559468106849;0.476878612716763
For almost no records in euthymia, context_avg_len_sms is medium;0.40109154182792495;0.4797687861271676
For some records in euthymia, context_avg_len_sms is medium;0.2655751248387416;0.4797687861271676
For almost no records in euthymia, context_avg_len_sms is high;0.8015816260298626;0.3352601156069364
For almost no records in euthymia, context_no_calls is low;0.040231659226700474;0.3873684210526316
For some records in euthymia, context_no_calls is low;0.6264350074399659;0.3873684210526316
